NO_MUNICIPIO_PROVA,NOTA_MEDIA,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,QTD_CANDIDATOS,Ano,municipio_norm
São Mateus,509.4297625241814,496.13712454945914,513.2943755003998,533.8282730923678,478.8387349397585,526.8719262295082,4997,2016,SAO MATEUS
Venda Nova do Imigrante,536.1350409659335,523.9201811125495,530.3401681759386,549.6727802981212,505.54633830200754,572.967826657912,1546,2016,VENDA NOVA DO IMIGRANTE
Viana,495.90889949109425,472.94219432314446,507.8028384279466,524.9333698030632,465.47997811816265,511.18820861678006,1834,2016,VIANA
Vila Velha,537.9705879232722,524.8800390117045,540.121241468965,560.2203880324006,503.5454527636223,563.5072184152751,15396,2016,VILA VELHA
Vitória,549.8108003806988,538.1889783129582,546.5103187764896,570.5533978786359,514.6892513566835,581.4954474097332,16286,2016,VITORIA
Água Doce do Norte,491.91653673835106,474.7236559139781,508.927688172043,515.9814016172506,461.2177897574122,502.20338983050846,372,2016,AGUA DOCE DO NORTE
Afonso Cláudio,530.5108697916667,533.7294975688814,508.43890625000023,528.1309375000003,518.6868932038836,568.8996763754045,640,2017,AFONSO CLAUDIO
Alegre,527.6476516040688,524.7745487364626,508.42477980035295,527.9918966529657,522.6832129963907,560.1595092024539,1704,2017,ALEGRE
Anchieta,528.1449941927988,526.0890173410395,514.3454291695747,526.7989532449409,517.4513728323702,563.22206095791,1435,2017,ANCHIETA
Aracruz,535.3191196261691,536.2272267600159,516.9749906542061,534.052991772626,523.3285492026449,572.1056782334385,2675,2017,ARACRUZ
Baixo Guandu,522.4744827586205,528.0306646525681,505.43620689655194,519.3751079136687,516.6509063444104,552.8813559322034,696,2017,BAIXO GUANDU
Barra de São Francisco,510.07086695279025,507.5568609865469,494.9855793991408,507.2505579399141,499.8406278026904,548.2971014492754,1165,2017,BARRA DE SAO FRANCISCO
Brejetuba,516.7453931924883,518.9981343283584,497.8749999999997,516.0605633802819,509.91641791044776,549.8518518518518,284,2017,BREJETUBA
Cachoeiro de Itapemirim,533.3054848600989,530.6243205713163,514.7078765810655,527.6458381281168,520.2221935739788,579.4704112337012,5218,2017,CACHOEIRO DE ITAPEMIRIM
Cariacica,517.7726144564074,516.5315717141445,509.28817891373683,519.5024162027722,508.28739380309804,542.8470469459869,8453,2017,CARIACICA
Castelo,537.0168994223577,539.7975789473685,513.2054026503565,532.2291836734695,527.6174736842111,578.5247629083245,981,2017,CASTELO
Colatina,538.7195569837186,537.4118849152995,516.5316709511558,534.9920545127292,526.2719548265652,586.31918323482,3890,2017,COLATINA
Conceição da Barra,500.2074550484091,500.0957910014514,488.4295988934997,498.3572022160663,491.7458635703921,529.4047619047619,723,2017,CONCEICAO DA BARRA
Domingos Martins,547.5356498388828,562.7898776418245,524.5871106337277,547.728249194414,536.7565072302559,569.7900552486187,931,2017,DOMINGOS MARTINS
Ecoporanga,499.65564545454606,496.62410546139387,487.1469945355197,499.75291970802897,496.1623352165721,526.8897637795276,550,2017,ECOPORANGA
Guarapari,532.6033046080206,532.4370841121485,517.627426312006,528.9473381294979,522.895626168224,569.4629349470499,2785,2017,GUARAPARI
Guaçuí,523.3815716180376,521.114814814815,508.4059681697614,527.7259946949606,518.1825788751723,547.0165745856353,754,2017,GUACUI
Itapemirim,506.7110485232066,503.67146666666656,496.4168354430377,505.65721518987334,501.2101333333333,535.0828729281768,790,2017,ITAPEMIRIM
Iúna,532.4422762050509,537.0059194948695,510.75141545524093,532.3208875286922,524.4702446724546,563.5537848605578,1307,2017,IUNA
Jaguaré,516.3930322780889,515.6960159362544,497.0826815642453,514.7880819366848,515.2069721115533,547.3046875,537,2017,JAGUARE
João Neiva,532.610054545454,536.4365019011408,513.308181818182,532.2783636363636,525.431939163498,565.9574468085107,550,2017,JOAO NEIVA
Linhares,528.4311740207128,527.300947193938,510.87660963530084,522.1513732552908,516.2530428605256,573.9412747672476,4442,2017,LINHARES
Marataízes,520.2925638297872,521.8064017660039,506.6741489361698,512.7864605543704,507.66986754966905,558.3783783783783,940,2017,MARATAIZES
Mimoso do Sul,516.41485915493,514.7462251655622,498.143533930858,512.6672215108832,511.407284768212,550.5006765899865,781,2017,MIMOSO DO SUL
Montanha,509.7186737588654,508.0529585798813,495.26978723404284,510.1461647727281,502.95769230769304,540.9331259720062,705,2017,MONTANHA
Nova Venécia,521.521354284635,524.8568019093075,504.5215741789349,522.0992063492065,514.6638424821003,548.1190476190476,1766,2017,NOVA VENECIA
Pedro Canário,494.6285923753669,488.5073552425671,485.984164222874,489.7972140762461,488.03489827856004,529.6485623003194,682,2017,PEDRO CANARIO
Pinheiros,504.06568611987393,497.0440397351003,492.8769716088332,500.2791798107254,490.7559602649001,546.9759450171821,634,2017,PINHEIROS
Santa Maria de Jetibá,531.1322205687826,533.08774662513,511.778373015873,531.6749751737833,521.8036344755973,563.2515337423313,1008,2017,SANTA MARIA DE JETIBA
Santa Teresa,547.7689382829208,551.1910900473931,517.5537121906507,542.6413382218147,537.0820853080556,596.7884615384615,1091,2017,SANTA TERESA
Serra,522.7175698778482,521.8614277246164,513.994214611503,523.640493155073,511.2369602032187,549.2706919945726,12498,2017,SERRA
Sooretama,508.87213268608383,492.4879032258064,493.2729571984435,505.2692607003888,496.3276209677422,563.3196721311475,515,2017,SOORETAMA
São Gabriel da Palha,522.6841976840361,521.850948275863,501.4706368899922,522.6209263854424,514.235948275862,559.9826238053867,1209,2017,SAO GABRIEL DA PALHA
São Mateus,519.2128390232341,519.5286176836867,506.7388809862491,520.1077561669844,509.95816733067664,546.12748803225,4218,2017,SAO MATEUS
Venda Nova do Imigrante,545.1254506545836,546.5329402515715,519.9725830815705,542.7947885196373,531.6607704402519,591.7859952793076,1324,2017,VENDA NOVA DO IMIGRANTE
Viana,505.8237719932515,501.4757066462948,499.7671728127253,509.9975415762835,499.770076335878,524.3276661514683,1383,2017,VIANA
Vila Velha,548.6128790961366,553.0858551221608,531.6948058291949,546.8863077299026,535.1998971546117,583.7906719904851,12288,2017,VILA VELHA
Vitória,560.3132451505564,567.6538290020012,538.6876312119234,556.5372301365821,544.4457872078731,603.4771261897451,13627,2017,VITORIA
Água Doce do Norte,501.155066872428,501.2361022364218,491.9725308641972,506.39290123456766,497.6750798722046,514.8837209302326,324,2017,AGUA DOCE DO NORTE
Afonso Cláudio,522.0847375541125,533.5941176470594,514.7097560975608,565.6593495934961,489.5934453781512,509.3532338308458,616,2018,AFONSO CLAUDIO
Alegre,533.5774827160488,541.2639969488943,522.4405044510387,575.0754268745359,499.2878718535475,532.2857142857143,1350,2018,ALEGRE
Anchieta,534.7447392110143,542.474092409241,528.5895949166003,579.1470214455912,497.0257425742578,527.9740680713128,1259,2018,ANCHIETA
Aracruz,537.3090186722005,550.2431978798592,530.2975518672199,578.2065145228229,499.97040636042414,530.8629441624365,2410,2018,ARACRUZ
Baixo Guandu,526.4060623781673,543.355785123967,520.3356725146199,564.1565302144247,497.2493801652892,513.4669338677355,513,2018,BAIXO GUANDU
Barra de São Francisco,508.5831361844099,519.8844930417487,507.7420382165604,551.0911737943578,480.0082504970172,490.1119402985075,1099,2018,BARRA DE SAO FRANCISCO
Brejetuba,520.4803174603175,535.4388235294116,511.8089947089946,561.8730158730157,491.2382352941177,510.74468085106383,189,2018,BREJETUBA
Cachoeiro de Itapemirim,540.288033442385,548.9455892409396,530.1495636998253,575.2162374508932,500.01114656940905,550.0799289520427,4585,2018,CACHOEIRO DE ITAPEMIRIM
Cariacica,525.4362956803265,534.115873239437,526.1757551563531,570.68989751098,490.7107731305456,508.210727446431,7516,2018,CARIACICA
Castelo,544.7855534979423,556.7028277634965,531.6008641975312,578.4585185185184,511.28766066838136,548.279301745636,810,2018,CASTELO
Colatina,546.5314839456179,556.6557657107985,534.4419728087936,581.8358981776108,505.73282489322685,557.3977038563438,3457,2018,COLATINA
Conceição da Barra,504.28854718262016,503.76225165562937,508.1527494908347,553.8655804480652,474.36843267108156,481.9166666666667,491,2018,CONCEICAO DA BARRA
Domingos Martins,550.9965956072352,575.3857530529162,540.1379844961245,590.1302325581393,512.8989145183174,540.0786369593709,774,2018,DOMINGOS MARTINS
Ecoporanga,498.4245372549022,516.574129353234,500.706352941177,545.5788235294118,470.9875621890547,461.5533980582524,425,2018,ECOPORANGA
Guarapari,541.8514341241123,550.8452717158763,535.8275432247685,581.7392267418442,503.1766367137359,541.0534912209065,2487,2018,GUARAPARI
Guaçuí,527.6869456574478,533.9215361445786,523.0965065502185,570.332168850073,499.278313253012,514.2857142857143,687,2018,GUACUI
Itapemirim,519.0940472481825,527.6996721311482,513.3302180685351,560.7088785046733,485.5647540983605,510.59581320450883,642,2018,ITAPEMIRIM
Iúna,529.8296265001217,544.5377983063898,523.3966201322557,574.3091109478323,503.1888375673611,507.9045488441462,1361,2018,IUNA
Jaguaré,514.0495648795653,531.2050761421319,510.48901869158885,555.9637850467292,488.5078680203048,489.4339622641509,429,2018,JAGUARE
João Neiva,545.2367397078358,557.570286885246,530.0049800796817,583.857171314741,508.31475409836065,549.1463414634146,502,2018,JOAO NEIVA
Linhares,531.1154216631396,542.9489801057655,524.6542097836309,570.084769303202,494.4572759315211,528.4404990403071,4253,2018,LINHARES
Marataízes,524.8828897028895,541.5573979591834,517.6705738705746,566.8190709046454,487.6025510204083,513.8,819,2018,MARATAIZES
Mimoso do Sul,518.4787189054722,526.3260736196323,512.3397014925371,560.0204477611937,492.30352760736184,504.46153846153845,670,2018,MIMOSO DO SUL
Montanha,517.6626227614099,531.4248608534322,511.5211438474871,557.5199652777777,483.85825602968504,509.43060498220643,577,2018,MONTANHA
Nova Venécia,522.7210890283588,538.4608088235291,519.428242677825,566.0396792189682,491.25955882352923,502.9613733905579,1434,2018,NOVA VENECIA
Pedro Canário,497.37229629629627,508.5776470588231,498.2611111111115,545.22537037037,467.64372549019606,467.82608695652175,540,2018,PEDRO CANARIO
Pinheiros,506.75216666666654,521.3093418259025,507.6519607843137,551.3762745098038,475.05774946921457,485.4878048780488,510,2018,PINHEIROS
Santa Maria de Jetibá,538.3745767494355,550.4841607565011,530.4579006772009,582.672316384181,502.78061465721015,528.5354691075515,886,2018,SANTA MARIA DE JETIBA
Santa Teresa,548.9568603839443,557.1800657174145,533.2325995807134,586.0757861635226,514.0455640744798,556.3559322033898,955,2018,SANTA TERESA
Serra,527.3763044115923,535.7153961136049,528.2810353935563,572.6227909435306,492.09604894451587,511.09425785482125,11364,2018,SERRA
Sooretama,505.25505882352974,509.3918575063613,499.43717647058895,550.0908235294121,466.55903307888065,503.7019230769231,425,2018,SOORETAMA
São Gabriel da Palha,520.4801199294526,531.6666666666663,517.3829629629626,566.2315343915338,486.86722408026714,504.3243243243243,945,2018,SAO GABRIEL DA PALHA
São Mateus,525.4172542422453,537.342098765433,521.6658179689781,570.2475841874076,493.1444753086411,507.77047220561866,3418,2018,SAO MATEUS
Venda Nova do Imigrante,544.8439002732243,560.4738054607518,532.1252666119766,582.3036154478239,505.1309726962459,548.2861896838602,1220,2018,VENDA NOVA DO IMIGRANTE
Viana,513.2247092013897,520.7460332103325,513.5263020833333,562.2892361111103,483.2602398523987,488.6151079136691,1152,2018,VIANA
Vila Velha,557.699680084485,569.0630782830756,548.8384622553559,594.8482842223074,517.4844499017692,562.407126611069,10732,2018,VILA VELHA
Vitória,569.5953713195083,582.2393957296001,556.600112134561,602.3424495030488,525.7122953586463,585.3700684708184,12487,2018,VITORIA
Água Doce do Norte,497.78076358296624,517.1458333333334,497.7814977973567,547.0942477876106,473.55879629629624,459.0783410138249,227,2018,AGUA DOCE DO NORTE
Afonso Cláudio,528.2182686654908,534.6625678119347,518.0141592920359,509.65327433628306,476.85587703435834,604.0215439856373,567,2019,AFONSO CLAUDIO
Alegre,529.8861477607948,529.1356244761103,521.2196299275944,515.1828640386173,487.8647946353732,598.2594417077175,1243,2019,ALEGRE
Anchieta,535.9107653985508,540.185916824196,526.9074275362315,517.773731884058,485.9434782608701,612.6014760147601,1104,2019,ANCHIETA
Aracruz,530.9170470588244,538.0031500000006,523.2983529411769,514.51694117647,485.529385307346,597.9903846153846,2125,2019,ARACRUZ
Baixo Guandu,525.780249576988,533.5848648648648,516.889593908629,507.61269035533013,482.15675675675675,595.978835978836,394,2019,BAIXO GUANDU
Barra de São Francisco,511.97194665153285,520.1925146198836,511.99647727272736,496.48170454545465,466.77298245614065,568.6046511627907,881,2019,BARRA DE SAO FRANCISCO
Brejetuba,511.26430485762114,519.9687830687828,507.90703517587946,496.21256281407017,474.0873015873018,565.3886010362694,199,2019,BREJETUBA
Cachoeiro de Itapemirim,539.3661104465685,542.808033932136,525.7115099306056,512.7476657888446,488.96237524950124,630.111976630964,4180,2019,CACHOEIRO DE ITAPEMIRIM
Cariacica,520.0965794984148,519.9820377005767,522.7567733450257,509.4162719298238,475.21171339563745,577.171595856478,6845,2019,CARIACICA
Castelo,539.3616145833331,550.6072580645164,523.9148437500003,512.8139322916666,493.65672043010716,619.7082228116711,768,2019,CASTELO
Colatina,542.9992568609315,551.1005838469018,529.8586802343506,522.2936786925684,492.0811871553669,624.2211055276382,3243,2019,COLATINA
Conceição da Barra,493.20890243902426,491.6584415584414,500.8546747967476,481.1243902439022,455.1523809523812,541.0901467505241,492,2019,CONCEICAO DA BARRA
Domingos Martins,548.9647392923654,571.9230882352945,531.5856145251396,534.1928770949714,499.8341176470586,612.822695035461,716,2019,DOMINGOS MARTINS
Ecoporanga,502.7165864527629,513.5441340782124,502.180213903743,489.5414438502674,464.20027932960903,550.9243697478992,374,2019,ECOPORANGA
Guarapari,534.1550798885958,537.5368712505765,528.4920809502876,516.7419823788554,485.2349330872178,605.8393501805054,2274,2019,GUARAPARI
Guaçuí,525.2020094386485,529.576923076923,520.6108792846504,512.9968703427719,483.8816923076921,583.2407407407408,671,2019,GUACUI
Itapemirim,512.194104882459,518.5788053949904,511.12115732368926,493.7314647377943,471.4071290944124,571.7712177121771,553,2019,ITAPEMIRIM
Iúna,534.976800056164,546.0891132572428,523.175063184498,518.5793597304124,493.7055311676908,598.0479452054794,1187,2019,IUNA
Jaguaré,511.6706675062976,510.75186170212817,506.42191435768245,490.9070528967253,467.53005319148957,588.2170542635658,397,2019,JAGUARE
João Neiva,549.4984540498444,558.0961352657004,532.5572429906542,527.8918224299069,496.4632850241549,639.0453460620525,428,2019,JOAO NEIVA
Linhares,531.8802448677798,535.8692498621067,522.1993736951982,510.975646045419,483.4459459459452,611.4171762829035,3832,2019,LINHARES
Marataízes,525.3090770609326,537.186894586894,521.6290322580654,504.9586810228797,475.69558404558455,591.1570247933885,744,2019,MARATAIZES
Mimoso do Sul,521.8195897435902,524.2241134751777,512.1805128205126,501.4781196581197,475.9625886524824,598.5639229422067,585,2019,MIMOSO DO SUL
Montanha,519.9284525837593,513.8705989110709,511.13713798977864,497.1066439523005,474.1395644283127,607.0260869565218,587,2019,MONTANHA
Nova Venécia,524.4149501915714,533.622807017544,517.1537164750948,505.2718007662832,481.40079744816575,588.5400313971743,1305,2019,NOVA VENECIA
Pedro Canário,495.8614534883719,494.9961065573769,501.39689922480596,484.15251937984505,455.0297131147538,547.9435483870968,516,2019,PEDRO CANARIO
Pinheiros,507.34442227763924,508.73492063492046,507.07425,490.28500000000014,460.11455026455036,575.0387596899225,401,2019,PINHEIROS
Santa Maria de Jetibá,532.6150087260039,535.8777166437419,525.1512450851899,517.2908256880737,484.2306740027512,603.083109919571,764,2019,SANTA MARIA DE JETIBA
Santa Teresa,554.8172543859647,562.1147896879243,531.1444736842105,530.8153947368422,503.9559023066488,648.8681757656458,760,2019,SANTA TERESA
Serra,523.0800702063723,525.8649916770695,523.482647462274,510.6021558059763,478.4979610943488,581.474255832663,10208,2019,SERRA
Sooretama,501.02001278772383,494.07668539325806,499.3723785166242,478.92455242966753,455.2176966292133,581.4814814814815,391,2019,SOORETAMA
São Gabriel da Palha,522.3212479871169,524.8077117572694,515.1793478260868,506.0696859903383,477.1579013906443,589.8404907975461,828,2019,SAO GABRIEL DA PALHA
São Mateus,521.1537074614239,525.656404269513,517.3988268864944,506.80126863304855,478.829109703235,581.8110749185668,3154,2019,SAO MATEUS
Venda Nova do Imigrante,547.9382270114947,562.1567956795684,529.1345689655168,529.571637931034,500.2758775877595,621.937172774869,1160,2019,VENDA NOVA DO IMIGRANTE
Viana,507.18257448789547,504.69418837675374,515.0939478584722,498.6045666356011,464.2949899799594,558.2290664100096,1074,2019,VIANA
Vila Velha,553.9269802079156,562.8654980581514,541.6768269519114,535.9328067193275,504.4594248530652,630.236559139785,10004,2019,VILA VELHA
Vitória,565.4084818573178,575.5665605095545,547.7548985239839,545.9608936484475,514.1909871658765,648.8578704140338,10840,2019,VITORIA
Água Doce do Norte,496.3713391557494,501.74266055045877,504.05350877193,485.9144736842104,452.8045871559631,542.6363636363636,229,2019,AGUA DOCE DO NORTE
Afonso Cláudio,523.4450800915333,519.123752969121,514.337299771167,514.9155606407323,490.9767220902609,582.7358490566038,437,2020,AFONSO CLAUDIO
Alegre,534.9019235588972,531.6733160621756,525.5104140526968,521.1387421383646,503.7194300518137,598.5309278350516,798,2020,ALEGRE
Anchieta,538.5940304268843,535.0808479532158,534.478746594006,521.1971389645765,501.0280701754384,605.5401662049861,734,2020,ANCHIETA
Aracruz,537.4513972260111,536.2759192501798,528.8398362892223,522.8732605729875,500.4232876712331,602.0723226703756,1466,2020,ARACRUZ
Baixo Guandu,539.6198648648646,546.027142857143,523.794576271186,523.0623728813562,504.93607142857167,610.3780068728522,296,2020,BAIXO GUANDU
Barra de São Francisco,518.0633870967741,512.1901408450701,512.6912713472485,508.52314990512326,484.473440643863,574.1650671785029,527,2020,BARRA DE SAO FRANCISCO
Brejetuba,522.2617101449273,527.3485981308411,522.3565217391305,509.83043478260873,492.48224299065413,559.2982456140351,115,2020,BREJETUBA
Cachoeiro de Itapemirim,541.1497382230172,540.1851993865025,527.7809302325577,517.0122719141318,502.7855172413785,622.4102564102565,2795,2020,CACHOEIRO DE ITAPEMIRIM
Cariacica,523.7331167324195,519.9512820512817,525.1536908077981,512.7232234091974,492.9981329350261,572.2264329701563,4309,2020,CARIACICA
Castelo,546.8642246376811,550.9486301369858,532.5723913043478,529.2899782135075,508.9013698630139,615.2087912087912,460,2020,CASTELO
Colatina,544.9483333333334,548.0537971582562,531.0270958777201,528.8948563484706,508.87550220480114,613.1920903954802,2159,2020,COLATINA
Conceição da Barra,501.2735062240667,487.3418103448276,507.09087136929463,492.0337499999998,473.46077586206883,547.5949367088608,241,2020,CONCEICAO DA BARRA
Domingos Martins,541.6726572958502,551.8172631578952,529.5142570281124,529.762374245473,499.7635789473684,600.7739307535642,498,2020,DOMINGOS MARTINS
Ecoporanga,498.7340199750311,495.84920634920604,497.0202247191014,493.043233082707,468.83968253968254,539.6812749003984,267,2020,ECOPORANGA
Guarapari,540.250363036303,539.4406424581,534.6375413086593,524.0358652575956,503.0549581005586,606.1600537995965,1515,2020,GUARAPARI
Guaçuí,523.6471370143149,513.5655246252684,521.5451942740282,511.58813905930447,497.2209850107067,578.2952182952183,489,2020,GUACUI
Itapemirim,513.0016291079814,511.2868098159513,514.3281690140848,502.0521126760563,480.7475460122697,559.072463768116,355,2020,ITAPEMIRIM
Iúna,537.5706034482762,539.1584196891197,526.79224137931,523.8791358024692,504.10220207253843,597.6029962546817,812,2020,IUNA
Jaguaré,516.5172980910423,516.5009615384618,504.1026431718061,505.95242290748894,492.9466346153849,569.3805309734513,227,2020,JAGUARE
João Neiva,560.6900671140942,571.9812056737594,538.0406040268455,540.7550335570471,524.055673758865,636.1245674740485,298,2020,JOAO NEIVA
Linhares,531.8715305431407,530.4781209221395,525.4117025599353,516.2203824247341,497.2317094388865,594.6869851729818,2461,2020,LINHARES
Marataízes,518.5240157232703,521.0779797979798,523.8473584905659,501.9075471698112,483.66040404040365,569.3023255813954,530,2020,MARATAIZES
Mimoso do Sul,523.2263655913976,522.990847457627,515.8593548387095,510.0941558441559,490.0027118644068,582.3684210526316,310,2020,MIMOSO DO SUL
Montanha,525.2726775956284,523.499408284024,517.099726775956,510.0579234972675,492.3505917159762,587.6584022038568,366,2020,MONTANHA
Nova Venécia,541.9848954161105,545.129452054795,528.2733957219247,525.7291443850257,503.64821917808183,610.3825136612022,749,2020,NOVA VENECIA
Pedro Canário,492.22583052749695,488.08021978021964,494.6700336700338,484.254054054054,464.1146520146523,536.8493150684932,297,2020,PEDRO CANARIO
Pinheiros,517.1181460674156,509.81632653061274,513.2134831460672,502.95880149812723,481.97795918367365,582.4710424710424,267,2020,PINHEIROS
Santa Maria de Jetibá,534.6802679738563,541.9150313152397,526.8823529411767,526.0476470588237,503.9887265135703,581.6733067729084,510,2020,SANTA MARIA DE JETIBA
Santa Teresa,554.9273539518899,552.5349892008637,535.3812371134024,544.716907216495,520.2017278617712,624.8421052631579,485,2020,SANTA TERESA
Serra,527.9162676284633,524.7408751519359,529.6364845143522,517.0509329871796,496.3642881944455,577.0122557138125,6169,2020,SERRA
Sooretama,498.3045132743363,478.1094999999999,502.7561946902654,478.6203539823008,467.04975124378115,567.7625570776256,226,2020,SOORETAMA
São Gabriel da Palha,527.2943953934746,523.5898203592817,519.2343570057578,517.8262955854128,491.48143712574876,587.6078431372549,521,2020,SAO GABRIEL DA PALHA
São Mateus,518.1440563856285,516.3317974971562,516.2222518676623,504.1242262540025,490.39869243888614,569.8905908096281,1874,2020,SAO MATEUS
Venda Nova do Imigrante,553.5118315266487,562.9396253602304,536.4669376693766,540.8093495934957,517.0237752161387,616.6068965517242,738,2020,VENDA NOVA DO IMIGRANTE
Viana,509.86481390257273,508.9256272401433,515.7073891625613,500.8865353037769,482.70913978494644,546.3772954924875,609,2020,VIANA
Vila Velha,556.6037293058395,559.5345905172393,547.4311446833227,542.1949127906975,519.1678005233207,621.091664194601,6886,2020,VILA VELHA
Vitória,570.5503277507634,574.7941520467828,553.5492569575777,553.2762033531637,528.5584569309758,648.0252851449774,7404,2020,VITORIA
Água Doce do Norte,513.5053687315634,506.26759259259245,502.2522123893804,499.27522123893806,477.9870370370371,582.5,113,2020,AGUA DOCE DO NORTE
Afonso Cláudio,538.802737799835,537.8167958656331,499.1196029776675,521.9590570719603,491.0020671834628,647.6962025316456,403,2021,AFONSO CLAUDIO
Alegre,533.7622825091579,534.5867332382307,498.17541208791283,513.6998626373623,500.9500713266761,627.9603399433428,728,2021,ALEGRE
Anchieta,543.7820660419458,542.5229137199435,509.6066934404288,526.1613119143246,500.6257425742575,642.8337874659401,747,2021,ANCHIETA
Aracruz,549.979187206574,556.6005703422054,510.6236795774641,530.261971830985,506.1173954372618,654.0163191296464,1136,2021,ARACRUZ
Baixo Guandu,540.4750398009949,547.4460063897767,503.73373134328364,525.2534328358205,497.95974440894565,635.5015197568389,335,2021,BAIXO GUANDU
Barra de São Francisco,518.8137752525253,521.1839920948619,487.08617424242414,503.0560606060608,477.9709486166011,611.3060428849902,528,2021,BARRA DE SAO FRANCISCO
Brejetuba,519.323539823009,515.4962616822428,487.61504424778735,505.5566371681418,481.0757009345794,610.7964601769911,113,2021,BREJETUBA
Cachoeiro de Itapemirim,549.5057030958593,551.3785266457678,507.04252144722153,524.3360074626856,501.2092084639496,670.3757668711656,2681,2021,CACHOEIRO DE ITAPEMIRIM
Cariacica,531.4270555866449,530.0872813519121,502.56723559037545,521.072635702295,489.3124481327805,619.8899826288362,3574,2021,CARIACICA
Castelo,550.7710700538883,551.0445255474453,510.9106235565818,528.1789838337187,504.9642335766426,660.3286384976526,433,2021,CASTELO
Colatina,545.4743515243387,547.5986133333336,507.8671551288528,526.8802930773123,500.2190933333334,650.8695652173913,1979,2021,COLATINA
Conceição da Barra,497.4246789617487,497.8736842105263,473.8459016393444,484.79426229508215,468.582894736842,578.237885462555,244,2021,CONCEICAO DA BARRA
Domingos Martins,545.4529202279207,547.9998214285711,502.63487179487146,525.9382905982906,503.132321428572,652.0490367775832,585,2021,DOMINGOS MARTINS
Ecoporanga,517.7503306342785,517.2883116883118,485.6999999999999,506.5437246963564,476.00995670995684,609.9166666666666,247,2021,ECOPORANGA
Guarapari,547.3997851798212,548.1632386799693,515.8459087617663,530.9650471356051,503.8317728319268,645.7953696788649,1381,2021,GUARAPARI
Guaçuí,539.2793861527482,549.8070796460178,501.0192719486079,522.8304068522485,502.1398230088493,627.4835886214443,467,2021,GUACUI
Itapemirim,512.1668139963167,510.7002932551321,480.7030386740332,495.06464088397746,477.9357771260995,603.8857142857142,362,2021,ITAPEMIRIM
Iúna,533.8187735094043,539.2612167300377,495.19831932773064,516.7981992797116,494.48035487959504,629.8275862068965,833,2021,IUNA
Jaguaré,526.3311266666667,524.8218884120168,492.15599999999984,511.43360000000007,492.87339055793984,620.3305785123966,250,2021,JAGUARE
João Neiva,566.2503194444447,574.7951327433627,522.1820833333336,541.640416666667,519.1402654867259,683.3333333333334,240,2021,JOAO NEIVA
Linhares,541.2700904088052,542.0562216624676,502.89674528301856,522.7604058518177,498.9681955645164,646.1210653753027,2120,2021,LINHARES
Marataízes,527.3575046382189,528.9768627450985,493.8627087198518,507.27532467532484,480.11921568627434,631.0898661567877,539,2021,MARATAIZES
Mimoso do Sul,530.0303772683859,533.2525373134329,493.47306590257904,503.7638968481379,492.3026865671645,633.8323353293413,349,2021,MIMOSO DO SUL
Montanha,520.8057442067737,515.8216763005781,487.892245989305,505.0897849462367,478.1179190751446,621.5934065934066,374,2021,MONTANHA
Nova Venécia,544.4778042722306,555.5615384615387,503.2803278688527,524.6695976154991,508.22951334379934,638.1126331811263,671,2021,NOVA VENECIA
Pedro Canário,508.02528417818723,500.74200000000013,470.79400921659,482.16036866359417,473.2195000000002,622.1153846153846,217,2021,PEDRO CANARIO
Pinheiros,519.9886764705883,524.317948717949,489.36862745098017,506.87205882352964,474.81743589743564,613.6787564766839,204,2021,PINHEIROS
Santa Maria de Jetibá,537.0629351316637,540.5677551020409,499.36589595375665,527.4050096339115,501.1226530612245,619.7647058823529,519,2021,SANTA MARIA DE JETIBA
Santa Teresa,554.4333505866114,561.0844492440601,513.4142857142856,537.6343685300207,513.2228941684664,651.7745302713987,483,2021,SANTA TERESA
Serra,537.8390858876124,536.677904839699,507.2272413793128,527.1195631346992,495.3141106800086,628.0188679245283,5220,2021,SERRA
Sooretama,511.4623809523807,501.3687861271678,486.0841269841269,493.39735449735474,475.23179190751455,602.1739130434783,189,2021,SOORETAMA
São Gabriel da Palha,531.7615301120443,528.0587196467987,495.19243697478964,516.9554621848745,489.73642384105983,631.8376068376068,476,2021,SAO GABRIEL DA PALHA
São Mateus,531.2730952380961,532.6447674418614,498.02186927306,518.1821733821732,491.90142027114314,621.5762925598991,1638,2021,SAO MATEUS
Venda Nova do Imigrante,556.567090103397,567.5370542635662,513.1363367799115,535.8042836041361,516.3306976744178,655.4054054054054,677,2021,VENDA NOVA DO IMIGRANTE
Viana,521.2894473838921,518.940494296578,496.27195767195747,512.6874558303881,483.67243346007615,603.1751824817518,567,2021,VIANA
Vila Velha,564.9720081249023,568.191793828418,527.9081886251392,549.8105531643552,519.7930496694358,665.593082068853,6277,2021,VILA VELHA
Vitória,576.3822563484904,581.747161989796,533.776566265058,558.7634458848331,527.7132174744906,687.6901755466585,6642,2021,VITORIA
Água Doce do Norte,512.1578711484592,514.288793103448,481.6823529411763,501.7697478991596,470.7775862068966,597.7586206896551,119,2021,AGUA DOCE DO NORTE
Afonso Cláudio,550.3813341750838,544.3788359788359,506.30782828282855,531.0138888888883,493.512962962963,683.9583333333334,396,2022,AFONSO CLAUDIO
Alegre,548.8458165096454,544.4541782729812,512.0701211305524,528.7974427994611,501.1227019498606,666.3572433192686,743,2022,ALEGRE
