municipio_norm,Nome_Municipio,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA,IND_REND_2023,NOTA_MEDIA_SAEB_2023,IDEB_2023,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,PERC_ESCOLA_PUB
GUACUI,Guaçuí,0.52,8.97,42.13,28.75,3.33,12.84,0.691,0.595,0.703,37.81,11.14,18939283.88,26.19,4304,4400.39,33920575.7,0.277752747252748,0.3492342032967028,0.07329647435897421,0.06437728937728929,0.6687683150183198,0.388507326007326,0.1222994505494507,0.5997002520607672,1.0,285.13,5.1,Guaçuí,598.196,600.6576923076923,591.1730769230769,671.02,790.7692307692307,650.8794871794871,28.0,0.0
GUARAPARI,Guarapari,0.58,8.91,52.76,37.87,2.05,6.59,0.746,0.626,0.731,29.22,10.32,78974690.86,28.38,20965,3766.98,135944303.55,0.2450982450103231,0.417884807295253,0.08688394700619394,0.04125946317962853,0.5930331211286973,0.2362998967653132,0.09520844803854071,0.413786741111539,0.948027,294.21,4.9,Guarapari,562.378125,571.5661538461538,570.8969230769231,629.04375,789.8461538461538,623.9580512820512,74.0,0.0
IBATIBA,Ibatiba,0.45,8.39,25.44,14.92,4.2,17.9,0.651,0.501,0.647,45.7,10.9,16040061.71,25.55,4156,3859.5,31158435.71,0.2690680537494582,0.4344681404421325,0.1242158647594277,0.06441265713047241,0.673811443433031,0.179778933680104,0.1377342869527526,0.4864854215918046,0.876422,,,,,,,,,,,
IBIRACU,Ibiraçu,0.56,8.74,42.79,26.72,2.06,8.08,0.733,0.625,0.726,33.24,8.4,9501148.59,24.83,1321,7192.39,9202195.1,0.2713039568345324,0.3773537170263789,0.08488788968824933,0.034052757793765,0.6373944844124695,0.3697541966426858,0.1243153477218227,0.7863174955216241,0.970142,291.6,4.8,,,,,,,,,
IBITIRAMA,Ibitirama,0.47,9.44,23.21,14.37,9.18,19.04,0.609,0.481,0.622,57.09,16.36,12739356.88,42.1,1423,8952.46,9763016.36,0.2984888779041029,0.3608512110726643,0.09947899159663853,0.0463667820069204,0.6814893722194761,0.3855659911023233,0.2171290163124071,0.803046218487395,0.989449,259.26,4.3,,,,,,,,,
ICONHA,Iconha,0.45,9.09,41.01,27.69,1.81,8.28,0.709,0.658,0.729,26.03,4.77,13575601.38,27.65,1581,8586.72,10711302.58,0.2600144032921811,0.3667067901234567,0.05929629629629631,0.04320987654320989,0.6313858024691352,0.3060699588477366,0.1532489711934158,0.3730326139866948,0.956274,296.58,5.1,,,,,,,,,
IRUPI,Irupi,0.51,7.82,24.03,15.57,5.41,18.56,0.658,0.493,0.637,53.4,8.26,11176960.43,26.02,1785,6261.6,12931799.77,0.2854093919325709,0.4128025285972305,0.1255719446116796,0.04708007224563516,0.6768819987959054,0.24894641782059,0.2011475015051173,0.6159008023340627,0.973684,294.13,5.3,,,,,,,,,
ITAGUACU,Itaguaçu,0.43,9.78,34.76,22.93,1.8,13.42,0.672,0.641,0.702,32.83,6.69,11025569.2,25.01,1416,7786.42,9225023.29,0.2749493927125506,0.3572314439946019,0.09914709851551949,0.05735492577597841,0.6438630229419696,0.3645411605937921,0.1274979757085022,0.4942232688203694,1.0,281.26,4.9,,,,,,,,,
ITAPEMIRIM,Itapemirim,0.44,8.94,33.83,20.1,3.06,11.57,0.64,0.54,0.654,38.27,18.29,51134697.02,27.89,7690,6649.51,52736940.87,0.2781674653542289,0.3442052842895987,0.06346949876958928,0.04271467426499159,0.6646089884730016,0.4378318870612614,0.1161459655485035,0.68771339626431,0.972922,290.13,4.8,Itapemirim,536.1666666666666,507.37142857142857,489.9857142857143,535.3333333333334,668.5714285714286,544.6028571428571,9.0,0.0
ITARANA,Itarana,0.47,9.24,33.8,20.6,2.08,10.05,0.696,0.568,0.684,41.31,4.88,14802222.5,35.21,919,16106.88,6054346.2,0.2741100543478261,0.3912989130434782,0.09732608695652177,0.06168478260869566,0.6392010869565211,0.2730978260869565,0.1820516304347828,0.3830329338492026,0.988591,277.59,4.7,,,,,,,,,
IUNA,Iúna,0.5,9.1,32.32,19.17,4.92,15.25,0.665,0.537,0.666,51.79,12.32,19541770.91,27.37,3559,5490.8,25360080.31,0.2718870305164321,0.4116602112676054,0.1069542253521125,0.0367957746478873,0.6698984741784071,0.2505868544600939,0.1554410211267605,0.5248688352570829,0.967473,302.48,5.3,Iúna,507.2166666666667,537.5833333333334,552.1999999999999,580.1999999999999,670.0,569.4399999999999,7.0,0.0
JAGUARE,Jaguaré,0.56,8.66,34.36,22.21,4.91,13.7,0.678,0.568,0.678,41.88,15.87,24664965.18,25.61,5407,4561.67,38634016.18,0.2818751401031164,0.4021223940820441,0.08879421654337574,0.02900694911454827,0.673758798475683,0.3545169244563999,0.1430132257341403,0.6314679755279804,0.993995,272.69,4.7,Jaguaré,505.1818181818182,551.8909090909091,539.2545454545455,527.2272727272727,710.9090909090909,566.8927272727273,13.0,0.0
JERONIMO MONTEIRO,Jerônimo Monteiro,0.54,9.55,38.83,26.23,5.96,13.11,0.685,0.589,0.698,32.78,15.75,10890138.16,32.12,1626,6697.5,9897086.2,0.2666258106355384,0.3647328145265888,0.07626848249027235,0.03476005188067446,0.6413242542153044,0.3696498054474708,0.1129299610894944,0.5896328293736501,0.959905,273.84,4.4,,,,,,,,,
JOAO NEIVA,João Neiva,0.53,9.55,49.7,37.42,2.71,7.71,0.751,0.663,0.753,21.8,9.58,16412753.52,26.91,2149,7637.39,14012033.17,0.2413863804589195,0.3671458179126573,0.07447668393782382,0.015099925980755,0.625951147298297,0.2818282753515914,0.08360103626943019,0.4972654307834364,0.953574,289.31,4.9,João Neiva,557.6882352941177,558.5176470588235,557.1235294117647,580.1823529411765,747.0588235294117,600.1141176470588,17.0,0.0
LARANJA DA TERRA,Laranja da Terra,0.47,10.42,22.75,12.26,10.33,13.21,0.633,0.55,0.656,45.93,9.48,9868668.87,24.04,1177,8384.6,9284825.98,0.2532652360515022,0.3379545064377683,0.08235622317596565,0.0321030042918455,0.6354094420600852,0.2755364806866953,0.1562334763948498,0.4869298720028845,0.992558,291.81,5.2,,,,,,,,,
LINHARES,Linhares,0.52,8.97,47.87,33.73,2.52,9.62,0.721,0.63,0.724,32.67,11.15,160546892.57,29.34,26904,5967.4,181884469.01,0.2402286146858435,0.4469589536546412,0.09643746320127833,0.05088737488434719,0.5851080831020256,0.1618512911094289,0.1001542602405584,0.359070905231854,0.956735,284.58,4.7,Linhares,556.0248062015504,571.3361538461538,564.9884615384616,622.246511627907,798.0,620.0389724310777,152.0,0.0
MANTENOPOLIS,Mantenópolis,0.52,9.01,28.79,16.89,10.46,18.61,0.636,0.551,0.657,46.12,21.04,13558736.27,31.63,1464,9261.43,10011596.8,0.2744592626308603,0.3291474738279471,0.08765862539827028,0.03231679563040511,0.6743868912152942,0.3873463814292217,0.1358825671370051,0.6520751761942052,0.958371,287.65,4.8,,,,,,,,,
MARATAIZES,Marataízes,0.52,8.61,42.77,26.52,5.11,9.78,0.676,0.588,0.696,36.52,18.0,32417640.49,29.1,7860,4124.38,56273878.13,0.2819917006611338,0.3504639189759448,0.06241721761147827,0.07905471936981329,0.6521083134055485,0.4070192713461809,0.1408400618933743,0.6291349662524744,0.951837,295.92,5.1,Marataízes,552.3533333333332,530.0133333333333,567.2733333333333,587.6,745.3333333333334,596.5146666666666,19.0,0.0
MARECHAL FLORIANO,Marechal Floriano,0.48,9.29,36.54,21.6,1.38,9.61,0.715,0.589,0.71,32.51,6.1,18120261.01,26.55,2432,7450.77,16639791.58,0.2650874060150377,0.4237086466165412,0.1183806390977443,0.06109022556390977,0.6182763157894733,0.2025375939849624,0.1666644736842106,0.3641516920809478,0.998663,311.11,5.8,,,,,,,,,
MARILANDIA,Marilândia,0.39,8.57,30.83,18.37,1.64,12.11,0.668,0.612,0.696,40.68,9.95,14691533.83,32.13,1506,9755.33,10889434.64,0.2602294807370185,0.3918350083752093,0.0848266331658291,0.04221105527638194,0.6550251256281402,0.2487437185929648,0.1387604690117255,0.5357229353354324,0.950057,280.4,4.7,,,,,,,,,
MIMOSO DO SUL,Mimoso do Sul,0.49,8.19,35.47,22.94,3.8,12.85,0.672,0.541,0.67,37.65,8.04,15523838.01,22.83,2674,5805.47,22701830.01,0.2653922184630262,0.3011312228129531,0.07560947317544697,0.05036249395843394,0.6383078782020337,0.3710729821169647,0.1559052682455292,0.6642696629213484,0.95241,285.05,4.7,Mimoso do Sul,471.36153846153843,480.4785714285714,488.5214285714286,540.7846153846153,625.7142857142857,515.0671428571429,17.0,0.0
MONTANHA,Montanha,0.52,9.49,32.52,22.55,3.68,17.39,0.679,0.535,0.667,40.38,13.22,15400468.68,25.12,2771,5557.73,21275101.02,0.278733158355206,0.3465508894721493,0.0638331875182268,0.06118401866433354,0.6644601924759452,0.4141878098571012,0.1220994459025955,0.7096296296296296,0.947579,,,Montanha,454.2142857142857,521.3142857142857,524.3714285714285,503.92857142857144,725.7142857142857,545.9085714285715,8.0,0.0
MUCURICI,Mucurici,0.48,9.22,31.24,17.7,6.48,19.87,0.617,0.577,0.666,33.98,19.69,8517096.91,27.22,718,11862.25,4443689.48,0.2727148717948719,0.3583938461538462,0.08063897435897438,0.05600000000000002,0.6656317948717944,0.3720512820512821,0.1035753846153847,0.7680204903036956,0.972203,274.42,4.5,,,,,,,,,
MUNIZ FREIRE,Muniz Freire,0.51,8.77,27.55,17.25,11.58,14.69,0.637,0.512,0.645,55.99,13.33,17924115.7,27.77,2485,7212.92,16275757.68,0.291396859083192,0.3842317487266553,0.106772920203735,0.07071307300509327,0.6746472835314105,0.3426358234295416,0.1694011035653649,0.5572632622706991,0.994949,292.04,5.2,,,,,,,,,
MUQUI,Muqui,0.52,9.39,38.63,27.5,5.88,11.48,0.673,0.619,0.694,34.62,15.33,13747820.91,32.25,1565,8784.55,10060381.81,0.2711192917054986,0.3215987884436161,0.08167334575955258,0.03811742777260018,0.6534095992544272,0.402260018639329,0.129710624417521,0.5825391051291379,0.915683,285.59,4.7,,,,,,,,,
NOVA VENECIA,Nova Venécia,0.48,9.52,40.61,28.33,2.79,11.39,0.692,0.621,0.712,31.76,8.61,40834174.69,29.57,7391,5524.85,50915145.35,0.2813364564162627,0.3848613016563485,0.09180642462773947,0.03389660364731466,0.6368460766270765,0.3870670905136356,0.1534785009201942,0.5283807194537858,0.96221,301.48,5.3,Nova Venécia,481.40000000000003,500.6,502.76363636363635,480.7631578947368,490.0,481.7215151515151,23.0,0.0
PANCAS,Pancas,0.5,8.87,32.45,18.66,5.29,17.56,0.648,0.562,0.667,39.69,16.84,17340776.73,29.83,2035,8521.27,13501486.86,0.2906950444726813,0.3333964421855146,0.09596018636171101,0.05091063108852177,0.6573744176196538,0.3455103769589157,0.2609301143583229,0.5430053458953051,0.991967,282.44,4.8,,,,,,,,,
PEDRO CANARIO,Pedro Canário,0.46,8.51,31.73,20.48,6.18,18.05,0.643,0.536,0.654,42.38,13.31,15678401.53,25.71,2904,5398.9,22324309.75,0.2694967044555764,0.3799280253097809,0.08563696282625873,0.03089902451885048,0.6354392301608263,0.3886105984708674,0.09643343000263636,0.6973329616206673,0.976568,277.83,4.6,Pedro Canário,479.34999999999997,553.175,516.75,561.475,760.0,574.15,6.0,0.0
PINHEIROS,Pinheiros,0.49,10.1,32.34,21.6,5.24,17.21,0.668,0.558,0.673,44.4,14.05,26922841.05,33.11,3695,7286.29,24659585.58,0.2624355863662625,0.3806666666666666,0.09064846909300964,0.03177354130560367,0.6413974581166988,0.3327556325823224,0.09732235701906422,0.6146769809742839,0.998328,280.47,4.7,Pinheiros,441.40000000000003,441.3375,456.75,436.93333333333334,335.0,415.05583333333334,13.0,0.0
PIUMA,Piúma,0.49,9.04,50.14,33.03,3.49,7.61,0.702,0.643,0.727,30.06,10.82,17330723.44,31.06,3965,4370.93,29862183.34,0.2766187923250567,0.3815730812641082,0.07708465011286667,0.04034988713318279,0.6354130925507937,0.3932703160270881,0.1319825056433408,0.6266816143497758,0.970334,,,,,,,,,,,
PONTO BELO,Ponto Belo,0.5,9.57,34.92,24.45,9.5,21.69,0.631,0.605,0.669,32.43,23.26,9077292.78,33.01,906,10019.09,5694535.36,0.2788447121820616,0.3317054886211513,0.06801137884872822,0.02449799196787149,0.6703165997322618,0.4692101740294511,0.109298527443106,0.8122210250885024,0.987355,246.96,3.9,,,,,,,,,
