municipio_norm,Nome_Municipio,RDPC_RAW,RDPC_INV,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,NO_MUNICIPIO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA
ICONHA,Iconha,22.87,32.58,0.45,9.09,41.01,27.69,1.81,8.28,0.709,0.658,0.729,26.03,4.77,13575601.38,27.65,1581,8586.72,10711302.58,Iconha,501.2311475409836,511.4854838709677,523.9677419354839,531.6131147540984,722.5806451612904,557.7608602150538,69,0.2600144032921811,0.3667067901234567,0.05929629629629631,0.04320987654320989,0.6313858024691352,0.3060699588477366,0.1532489711934158,0.3730326139866948
IRUPI,Irupi,42.37,13.080000000000004,0.51,7.82,24.03,15.57,5.41,18.56,0.658,0.493,0.637,53.4,8.26,11176960.43,26.02,1785,6261.6,12931799.77,Irupi,495.8057142857143,507.33,523.0649999999999,530.4857142857143,641.0,534.2143333333333,63,0.2854093919325709,0.4128025285972305,0.1255719446116796,0.04708007224563516,0.6768819987959054,0.24894641782059,0.2011475015051173,0.6159008023340627
ITAGUACU,Itaguaçu,30.91,24.540000000000003,0.43,9.78,34.76,22.93,1.8,13.42,0.672,0.641,0.702,32.83,6.69,11025569.2,25.01,1416,7786.42,9225023.29,Itaguaçu,489.9522727272728,501.7795918367347,516.5469387755102,527.8477272727273,650.6122448979592,534.7447619047618,60,0.2749493927125506,0.3572314439946019,0.09914709851551949,0.05735492577597841,0.6438630229419696,0.3645411605937921,0.1274979757085022,0.4942232688203694
ITAPEMIRIM,Itapemirim,41.94,13.510000000000003,0.44,8.94,33.83,20.1,3.06,11.57,0.64,0.54,0.654,38.27,18.29,51134697.02,27.89,7690,6649.51,52736940.87,Itapemirim,469.9465838509316,470.0058479532164,501.01461988304095,505.6583850931677,610.9941520467836,509.7569980506823,211,0.2781674653542289,0.3442052842895987,0.06346949876958928,0.04271467426499159,0.6646089884730016,0.4378318870612614,0.1161459655485035,0.68771339626431
ITARANA,Itarana,25.12,30.33,0.47,9.24,33.8,20.6,2.08,10.05,0.696,0.568,0.684,41.31,4.88,14802222.5,35.21,919,16106.88,6054346.2,Itarana,477.97804878048777,499.24047619047616,511.32142857142856,522.0219512195122,616.6666666666666,523.7473015873015,48,0.2741100543478261,0.3912989130434782,0.09732608695652177,0.06168478260869566,0.6392010869565211,0.2730978260869565,0.1820516304347828,0.3830329338492026
IUNA,Iúna,41.1,14.35,0.5,9.1,32.32,19.17,4.92,15.25,0.665,0.537,0.666,51.79,12.32,19541770.91,27.37,3559,5490.8,25360080.31,Iúna,479.8992366412214,507.335,521.3578571428571,533.0801526717557,627.5714285714286,531.7373809523809,172,0.2718870305164321,0.4116602112676054,0.1069542253521125,0.0367957746478873,0.6698984741784071,0.2505868544600939,0.1554410211267605,0.5248688352570829
JAGUARE,Jaguaré,43.26,12.190000000000005,0.56,8.66,34.36,22.21,4.91,13.7,0.678,0.568,0.678,41.88,15.87,24664965.18,25.61,5407,4561.67,38634016.18,Jaguaré,482.1149122807017,495.2875,514.4,511.4710526315789,673.4375,533.5375,175,0.2818751401031164,0.4021223940820441,0.08879421654337574,0.02900694911454827,0.673758798475683,0.3545169244563999,0.1430132257341403,0.6314679755279804
JERONIMO MONTEIRO,Jerônimo Monteiro,38.28,17.17,0.54,9.55,38.83,26.23,5.96,13.11,0.685,0.589,0.698,32.78,15.75,10890138.16,32.12,1626,6697.5,9897086.2,Jerônimo Monteiro,457.54,479.865909090909,503.89090909090913,477.155,649.5454545454545,513.7295454545455,55,0.2666258106355384,0.3647328145265888,0.07626848249027235,0.03476005188067446,0.6413242542153044,0.3696498054474708,0.1129299610894944,0.5896328293736501
JOAO NEIVA,João Neiva,21.81,33.64,0.53,9.55,49.7,37.42,2.71,7.71,0.751,0.663,0.753,21.8,9.58,16412753.52,26.91,2149,7637.39,14012033.17,João Neiva,486.789552238806,503.3648648648648,505.1148648648648,505.010447761194,648.3783783783783,528.0355855855855,86,0.2413863804589195,0.3671458179126573,0.07447668393782382,0.015099925980755,0.625951147298297,0.2818282753515914,0.08360103626943019,0.4972654307834364
LARANJA DA TERRA,Laranja da Terra,42.51,12.940000000000005,0.47,10.42,22.75,12.26,10.33,13.21,0.633,0.55,0.656,45.93,9.48,9868668.87,24.04,1177,8384.6,9284825.98,Laranja da Terra,476.16315789473686,489.6961038961039,500.6714285714285,520.8381578947368,686.4935064935065,533.4967965367965,84,0.2532652360515022,0.3379545064377683,0.08235622317596565,0.0321030042918455,0.6354094420600852,0.2755364806866953,0.1562334763948498,0.4869298720028845
LINHARES,Linhares,29.32,26.130000000000003,0.52,8.97,47.87,33.73,2.52,9.62,0.721,0.63,0.724,32.67,11.15,160546892.57,29.34,26904,5967.4,181884469.01,Linhares,503.2506257110352,517.04386339381,526.4130202774813,543.9119453924915,684.4397011739594,553.3989762663832,1191,0.2402286146858435,0.4469589536546412,0.09643746320127833,0.05088737488434719,0.5851080831020256,0.1618512911094289,0.1001542602405584,0.359070905231854
MANTENOPOLIS,Mantenópolis,49.66,5.790000000000006,0.52,9.01,28.79,16.89,10.46,18.61,0.636,0.551,0.657,46.12,21.04,13558736.27,31.63,1464,9261.43,10011596.8,Mantenópolis,462.1935897435897,466.9107142857143,507.52857142857147,506.8730769230769,526.6666666666666,490.51642857142855,116,0.2744592626308603,0.3291474738279471,0.08765862539827028,0.03231679563040511,0.6743868912152942,0.3873463814292217,0.1358825671370051,0.6520751761942052
MARATAIZES,Marataízes,40.92,14.53,0.52,8.61,42.77,26.52,5.11,9.78,0.676,0.588,0.696,36.52,18.0,32417640.49,29.1,7860,4124.38,56273878.13,Marataízes,486.9890243902439,504.3179710144928,522.4460869565218,540.3701219512195,664.0,542.6315362318841,395,0.2819917006611338,0.3504639189759448,0.06241721761147827,0.07905471936981329,0.6521083134055485,0.4070192713461809,0.1408400618933743,0.6291349662524744
MARECHAL FLORIANO,Marechal Floriano,23.77,31.680000000000003,0.48,9.29,36.54,21.6,1.38,9.61,0.715,0.589,0.71,32.51,6.1,18120261.01,26.55,2432,7450.77,16639791.58,Marechal Floriano,515.4371212121212,533.3389705882354,536.1860294117647,548.4280303030303,744.4117647058823,574.3288235294118,169,0.2650874060150377,0.4237086466165412,0.1183806390977443,0.06109022556390977,0.6182763157894733,0.2025375939849624,0.1666644736842106,0.3641516920809478
MARILANDIA,Marilândia,26.03,29.42,0.39,8.57,30.83,18.37,1.64,12.11,0.668,0.612,0.696,40.68,9.95,14691533.83,32.13,1506,9755.33,10889434.64,Marilândia,466.1352941176471,489.4558823529412,489.6264705882353,477.02058823529416,611.7647058823529,506.8005882352941,53,0.2602294807370185,0.3918350083752093,0.0848266331658291,0.04221105527638194,0.6550251256281402,0.2487437185929648,0.1387604690117255,0.5357229353354324
MIMOSO DO SUL,Mimoso do Sul,37.07,18.380000000000003,0.49,8.19,35.47,22.94,3.8,12.85,0.672,0.541,0.67,37.65,8.04,15523838.01,22.83,2674,5805.47,22701830.01,Mimoso do Sul,487.1634782608696,486.2613445378151,510.8722689075631,494.9417391304348,683.1932773109244,531.347,147,0.2653922184630262,0.3011312228129531,0.07560947317544697,0.05036249395843394,0.6383078782020337,0.3710729821169647,0.1559052682455292,0.6642696629213484
MONTANHA,Montanha,39.22,16.230000000000004,0.52,9.49,32.52,22.55,3.68,17.39,0.679,0.535,0.667,40.38,13.22,15400468.68,25.12,2771,5557.73,21275101.02,Montanha,501.7511520737327,523.6161434977578,526.6488789237668,534.5778801843318,708.4304932735427,558.5159043348281,266,0.278733158355206,0.3465508894721493,0.0638331875182268,0.06118401866433354,0.6644601924759452,0.4141878098571012,0.1220994459025955,0.7096296296296296
MUCURICI,Mucurici,55.45,0.0,0.48,9.22,31.24,17.7,6.48,19.87,0.617,0.577,0.666,33.98,19.69,8517096.91,27.22,718,11862.25,4443689.48,Mucurici,474.1529411764706,477.18947368421055,510.9052631578948,505.54117647058825,500.0,495.3747368421052,23,0.2727148717948719,0.3583938461538462,0.08063897435897438,0.05600000000000002,0.6656317948717944,0.3720512820512821,0.1035753846153847,0.7680204903036956
MUNIZ FREIRE,Muniz Freire,48.66,6.790000000000006,0.51,8.77,27.55,17.25,11.58,14.69,0.637,0.512,0.645,55.99,13.33,17924115.7,27.77,2485,7212.92,16275757.68,Muniz Freire,486.7,507.6818181818182,515.6245454545455,508.9851851851852,660.7272727272727,536.5179999999999,140,0.291396859083192,0.3842317487266553,0.106772920203735,0.07071307300509327,0.6746472835314105,0.3426358234295416,0.1694011035653649,0.5572632622706991
MUQUI,Muqui,40.09,15.36,0.52,9.39,38.63,27.5,5.88,11.48,0.673,0.619,0.694,34.62,15.33,13747820.91,32.25,1565,8784.55,10060381.81,Muqui,479.24754098360654,498.3444444444444,509.15238095238095,510.4934426229508,640.0,526.2439153439153,80,0.2711192917054986,0.3215987884436161,0.08167334575955258,0.03811742777260018,0.6534095992544272,0.402260018639329,0.129710624417521,0.5825391051291379
NOVA VENECIA,Nova Venécia,30.8,24.65,0.48,9.52,40.61,28.33,2.79,11.39,0.692,0.621,0.712,31.76,8.61,40834174.69,29.57,7391,5524.85,50915145.35,Nova Venécia,514.7589005235602,531.8994910941476,541.7862595419847,569.5769633507854,709.1094147582697,573.0821319796954,476,0.2813364564162627,0.3848613016563485,0.09180642462773947,0.03389660364731466,0.6368460766270765,0.3870670905136356,0.1534785009201942,0.5283807194537858
PANCAS,Pancas,44.79,10.660000000000004,0.5,8.87,32.45,18.66,5.29,17.56,0.648,0.562,0.667,39.69,16.84,17340776.73,29.83,2035,8521.27,13501486.86,Pancas,479.4839285714285,483.3822580645161,514.6951612903225,496.7214285714286,680.3225806451613,531.6235483870968,87,0.2906950444726813,0.3333964421855146,0.09596018636171101,0.05091063108852177,0.6573744176196538,0.3455103769589157,0.2609301143583229,0.5430053458953051
PEDRO CANARIO,Pedro Canário,42.92,12.53,0.46,8.51,31.73,20.48,6.18,18.05,0.643,0.536,0.654,42.38,13.31,15678401.53,25.71,2904,5398.9,22324309.75,Pedro Canário,464.1377777777778,469.63630136986296,500.75,502.17481481481485,579.4520547945206,500.7997052154195,172,0.2694967044555764,0.3799280253097809,0.08563696282625873,0.03089902451885048,0.6354392301608263,0.3886105984708674,0.09643343000263636,0.6973329616206673
PINHEIROS,Pinheiros,37.84,17.61,0.49,10.1,32.34,21.6,5.24,17.21,0.668,0.558,0.673,44.4,14.05,26922841.05,33.11,3695,7286.29,24659585.58,Pinheiros,459.88210526315794,479.1067961165049,498.5213592233009,491.6957894736842,583.1067961165048,499.8160517799353,141,0.2624355863662625,0.3806666666666666,0.09064846909300964,0.03177354130560367,0.6413974581166988,0.3327556325823224,0.09732235701906422,0.6146769809742839
PIUMA,Piúma,28.05,27.4,0.49,9.04,50.14,33.03,3.49,7.61,0.702,0.643,0.727,30.06,10.82,17330723.44,31.06,3965,4370.93,29862183.34,Piúma,522.4581818181819,541.6972222222222,545.1020833333333,562.042909090909,733.6111111111111,579.8535648148148,318,0.2766187923250567,0.3815730812641082,0.07708465011286667,0.04034988713318279,0.6354130925507937,0.3932703160270881,0.1319825056433408,0.6266816143497758
PONTO BELO,Ponto Belo,51.11,4.340000000000003,0.5,9.57,34.92,24.45,9.5,21.69,0.631,0.605,0.669,32.43,23.26,9077292.78,33.01,906,10019.09,5694535.36,Ponto Belo,463.5342857142857,463.9263157894737,489.12368421052633,456.5914285714286,537.8947368421053,475.6029824561404,51,0.2788447121820616,0.3317054886211513,0.06801137884872822,0.02449799196787149,0.6703165997322618,0.4692101740294511,0.109298527443106,0.8122210250885024
PRESIDENTE KENNEDY,Presidente Kennedy,47.09,8.36,0.48,9.34,31.13,19.28,7.6,17.11,0.636,0.553,0.657,39.94,18.93,16949348.64,26.09,2924,5796.63,20774432.47,Presidente Kennedy,454.9985714285714,482.8397260273973,511.6493150684932,507.0842857142857,636.1643835616438,519.1922374429224,89,0.2789475088967972,0.3767112989323843,0.0620925266903914,0.03140569395017794,0.6640538256227768,0.3688834519572954,0.1704159252669038,0.6731892523364486
RIO BANANAL,Rio Bananal,35.76,19.690000000000005,0.5,9.19,29.44,17.85,5.63,13.27,0.68,0.579,0.681,42.72,8.81,26170329.51,31.41,3608,7253.42,23592837.69,Rio Bananal,473.8662337662337,498.50853658536585,512.2939024390244,513.6272727272727,633.6585365853658,526.5754471544716,107,0.280311736590547,0.4099495485926712,0.1277588953797131,0.08528943175783314,0.6629006903876786,0.1970260223048327,0.1989378651088688,0.4399190619487393
RIO NOVO DO SUL,Rio Novo do Sul,30.1,25.35,0.48,8.7,36.62,23.66,2.54,9.03,0.692,0.62,0.711,35.84,10.36,9360567.74,25.11,1257,7446.75,8442785.62,Rio Novo do Sul,464.45633802816906,488.75277777777774,495.1736111111111,509.8464788732394,607.7777777777778,513.9557407407407,92,0.2736828012358393,0.4009021627188465,0.08235839340885688,0.05478887744593205,0.6561534500514928,0.3313594232749743,0.1164850669412978,0.4051856536272473
SANTA LEOPOLDINA,Santa Leopoldina,51.7,3.75,0.55,9.15,23.27,14.82,10.36,13.26,0.646,0.477,0.626,55.88,15.02,13595506.7,26.34,1411,9635.37,11206288.41,Santa Leopoldina,464.4807692307692,479.015625,497.515625,494.36538461538464,581.25,498.5195833333333,54,0.2872632541133457,0.3369987812309568,0.08669713589274824,0.04277879341864717,0.6798165752589878,0.4040219378427788,0.1731413772090191,0.4936670227376774
SANTA MARIA DE JETIBA,Santa Maria de Jetibá,29.83,25.620000000000005,0.49,8.72,25.64,15.53,4.49,10.92,0.695,0.521,0.671,51.05,4.2,54649378.87,31.71,4183,13064.64,28286727.94,Santa Maria de Jetibá,505.4587755102041,524.7389961389961,528.9027027027026,539.8522448979592,694.5173745173745,557.9133075933075,297,0.2922897669706184,0.4349057750759877,0.1315501519756837,0.0466734211415062,0.6472012833502214,0.2648598446470787,0.228519419115164,0.3673984052262465
SANTA TERESA,Santa Teresa,22.72,32.730000000000004,0.48,9.21,38.85,25.52,1.09,9.84,0.722,0.604,0.714,33.35,5.61,26793735.02,33.96,2966,9033.63,19553257.21,Santa Teresa,530.9919014084508,538.9934707903781,541.6652920962199,572.8605633802816,693.2646048109966,574.6306071019472,324,0.2797251908396948,0.4002095766828591,0.1054365024288688,0.06953504510756417,0.6262172102706449,0.2827897293546148,0.194113809854268,0.3052437741143458
SAO DOMINGOS DO NORTE,São Domingos do Norte,33.67,21.78,0.49,9.78,32.81,22.84,3.09,12.11,0.679,0.575,0.682,36.1,10.45,13373086.55,34.89,1391,9614.01,9918546.95,São Domingos do Norte,473.6769230769231,462.3317073170732,484.1536585365853,472.2076923076923,689.7560975609756,514.2432520325203,48,0.2953859111791731,0.3434724349157733,0.08928866768759566,0.06248085758039817,0.6876562021439505,0.3753828483920367,0.214010719754977,0.6742344859704273
SAO GABRIEL DA PALHA,São Gabriel da Palha,25.88,29.570000000000004,0.6,9.21,38.73,23.94,5.41,10.57,0.739,0.578,0.709,35.53,5.77,24800281.95,25.09,4074,6087.45,27273145.82,São Gabriel da Palha,473.32461538461536,493.6629370629371,511.2405594405594,502.30307692307696,617.2027972027972,517.2053472222221,173,0.2639792597319722,0.3996643267389915,0.0894068283343968,0.05488194001276316,0.6339696873005769,0.2833439693682195,0.1226196553924697,0.4517239240977304
